1,11,16,21
1,11,21,21
1,11,26,21
1,11,31,21
1,11,36,21
1,11,41,21
1,11,46,21
1,11,51,21
1,11,56,21
1,12,1,21
1,12,6,21
1,12,11,21
1,12,16,21
1,12,21,21
1,12,26,20
1,12,31,21
1,12,36,21
1,12,41,21
1,12,46,21
1,12,51,21
1,12,56,20
1,13,1,20
1,13,6,20
1,13,11,20
1,13,16,20
1,13,21,20
1,13,26,20
1,13,31,20
1,13,36,20
1,13,41,20
1,13,46,20
1,13,51,20
1,13,56,20
1,14,1,20
1,14,6,20
1,14,11,20
1,14,16,20
1,14,21,20
1,14,26,19
1,14,31,20
1,14,36,20
1,14,41,20
1,14,46,20
1,14,51,20
1,14,56,20
1,15,1,20
1,15,6,20
1,15,11,20
1,15,16,20
1,15,21,20
1,15,26,20
1,15,31,20
1,15,36,20
1,15,41,20
1,15,46,20
1,15,51,20
1,15,56,20
1,16,1,20
1,16,6,20
1,16,11,20
1,16,16,19
1,16,21,20
1,16,26,19
1,16,31,19
1,16,36,19
1,16,41,19
1,16,46,19
1,16,51,19
1,16,56,19
1,17,1,19
1,17,6,18
1,17,11,18
1,17,16,18
1,17,21,18
1,17,26,17
1,17,31,17
1,17,36,17
1,17,41,17
1,17,46,18
1,17,51,17
1,17,56,18
1,18,1,17
1,18,6,18
1,18,11,18
1,18,16,18
1,18,21,18
1,18,26,19
1,18,31,19
1,18,36,19
1,18,41,19
